"","V1","V2"
"938","AQP4","grey"
"939","TMEM200A","black"
"940","FAT3","grey"
"941","LINC01550","grey"
"942","AASS","honeydew1"
"943","SLC27A2","ivory"
"944","MAPK10","grey"
"945","DCLK3","darkturquoise"
"946","MIR4697HG","greenyellow"
"947","TGFBR3L","darkslateblue"
"948","ZIC5","grey"
"949","OAS1","magenta"
"950","GPC6","black"
"951","CCKBR","salmon"
"952","LOC100287846","navajowhite2"
"953","CT83","grey"
"954","SLCO5A1","black"
"955","ZG16B","skyblue3"
"956","SELL","grey"
"957","TRABD2A","grey"
"958","LINC00460","lightgreen"
"959","PCSK4","orangered4"
"960","GJB5","darkolivegreen"
"961","FAM181B","grey"
"962","LOC100129940","grey"
"963","CDR1","grey"
"964","BEND4","grey"
"965","CELF2.AS1","grey"
"966","LINC00601","grey"
"967","LOC100631378","grey"
"968","DKK1","grey"
"969","STON1.GTF2A1L","grey"
"970","VSTM4","grey"
"971","OPRK1","grey"
"972","PECAM1","grey"
"973","GJB2","salmon4"
"974","ANKRD35","greenyellow"
"975","CSRNP3","grey"
"976","HSFX1","grey"
"977","NTNG1","grey"
"978","BMP4","grey"
"979","S100A7A","darkolivegreen"
"980","GPNMB","grey"
"981","HOXB3","grey"
"982","KCNJ8","black"
